窮屈 | narrow, tight, cramped, constraint | きゅうくつ | 部屋が窮屈に感じる。 | Room feels cramped
裂く | to tear, to split | さく | 布を裂いて包帯にした。 | I tore the cloth to make a bandage
嘆く | to lament, to grieve | なげく | 彼は運の悪さを嘆いた。 | He lamented his bad luck
透明で澄んでいる | clear and transparent | とうめいですんでいる | 湖の水は透明で澄んでいる。 | The lake water is clear and transparent
望む | to wish, to hope for | のぞむ | 彼は平和を望んでいる。 | He hopes for peace
慎む | to refrain, to be careful | つつしむ | 言葉遣いを慎むべきだ。 | You should be careful with your language
癒される | to be healed, soothed | いやされる | 音楽を聞くと癒される。 | Listening to music soothes me
促す | to prompt, to encourage | うながす | 彼に決断を促した。 | I urged him to make a decision
脅かす | to threaten, to endanger | おびやかす | 気候変動が生態系を脅かしている。 | Climate change threatens ecosystems
少子高齢化 | declining birthrate and aging population | しょうしこうれいか | 少子高齢化が深刻な問題だ。 | The declining birthrate and aging population is a serious issue
施す | to apply, to give, to perform | ほどこす | 壁に装飾を施した。 | Decorations were applied to the wall
催す | to hold (an event), to feel (a sensation) | もよおす | パーティーを催した。 | They held a party
快く | willingly, pleasantly | こころよく | 彼は快く引き受けてくれた。 | He accepted willingly
乏しい | scarce, lacking | とぼしい | 経験が乏しい。 | I lack experience
うんざりする | to be fed up with | うんざりする | 彼の言い訳にはうんざりする。 | I’m fed up with his excuses
紛らわしい | confusing, misleading | まぎらわしい | この二つの言葉は紛らわしい。 | These two words are confusing
華々しい | spectacular, brilliant | はなばなしい | 彼は華々しいデビューを飾った。 | He made a spectacular debut
憧れる | to long for, to admire | あこがれる | 海外生活に憧れている。 | I long for living abroad
煩わしい | troublesome, annoying | わずらわしい | 手続きが煩わしい。 | The procedures are troublesome
